"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","30","","","","","","Validate Credit Card - Missing Number",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","33","","","","","","Validate Credit Card - Invalid Card Number",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","70","","","","","","Validate Credit Card - Expired Card Past Date",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","55","","","","","","Validate Credit Card - Invalid All Fields",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","59","","","","","","Validate Credit Card - Card Number with spaces",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","43","","","","","","Validate Credit Card - Missing IssueDate",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","47","","","","","","Validate Credit Card - Missing CVV",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","72","","","","","","Validate Credit Card - Invalid CVV and Date Format",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","56","","","","","","Validate Credit Card - CVV with special chars",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","49","","","","","","Validate Credit Card - Invalid Owner and CVV",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","51","","","","","","Validate Credit Card - Owner Contains Card Number",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","53","","","","","","Validate Credit Card - Owner Contains Number",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","59","","","","","","Validate Credit Card - Invalid CVV length Visa",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","45","","","","","","Validate Credit Card - Missing Owner",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","47","","","","","","Validate Credit Card - Valid American Express",""
"passed","Tue Jun 17 07:11:02 GMT 2025","Tue Jun 17 07:11:02 GMT 2025","451","","","","","","Validate Credit Card - Valid Visa Card",""
"passed","Tue Jun 17 07:11:03 GMT 2025","Tue Jun 17 07:11:03 GMT 2025","64","","","","","","Validate Credit Card - Valid MasterCard",""
